vertex,c3_baseline_x,c3_baseline_y,c3_baseline_z,c3_deformed_x,c3_deformed_y,c3_deformed_z,c5_deformed_x,c5_deformed_y,c5_deformed_z,c3_c5_error
164,0.66664061,0.05472798,0.11465472,0.65546532,0.13272756,0.07445903,0.65546532,0.13272756,0.07445903,0.0
165,0.63442971,0.01862928,0.2284659,0.6262013,0.1058421,0.159914,0.6262013,0.1058421,0.159914,0.0
166,0.5885553,0.0348401,0.3736849,0.58417568,0.12260039,0.26756931,0.58417568,0.12260039,0.26756931,0.0
167,0.63400544,0.13760931,0.06673442,0.61745613,0.20069884,0.03268763,0.61745613,0.20069884,0.03268763,0.0
168,0.60295377,0.08438502,0.14672983,0.58735692,0.15925585,0.09226323,0.58735692,0.15925585,0.09226323,0.0
169,0.56952979,0.06359043,0.24713186,0.55612552,0.14471518,0.16696762,0.55612552,0.14471518,0.16696762,0.0
170,0.55037072,0.06348577,0.34901339,0.54090295,0.14671949,0.24402049,0.54090295,0.14671949,0.24402049,0.0
171,0.5479512,0.09221018,0.44068411,0.5438177,0.17167973,0.31449657,0.5438177,0.17167973,0.31449657,0.0
172,0.52326404,0.10210598,0.37634743,0.512957,0.1794819,0.26184737,0.512957,0.1794819,0.26184737,0.0
173,0.59870318,0.08248522,0.48525335,0.60227661,0.16299064,0.3545368,0.60227661,0.16299064,0.3545368,0.0
174,0.50345893,0.31287166,0.22080212,0.48406977,0.3500647,0.13610925,0.48406977,0.3500647,0.13610925,0.0
175,0.48416326,0.34840948,0.25072616,0.46486257,0.38012624,0.15680443,0.46486257,0.38012624,0.15680443,0.0
176,0.51481458,0.32549485,0.1752418,0.49405986,0.35937897,0.10176968,0.49405986,0.35937897,0.10176968,0.0
177,0.48666043,0.38955421,0.25439615,0.46821356,0.41376659,0.15933337,0.46821356,0.41376659,0.15933337,0.0
178,0.50454248,0.45107943,0.23045696,0.48711366,0.46322927,0.14176393,0.48711366,0.46322927,0.14176393,0.0
179,0.52475489,0.48683111,0.20608526,0.5083176,0.49154056,0.12446603,0.5083176,0.49154056,0.12446603,0.0
180,0.52512797,0.27654848,0.17433814,0.50492345,0.31903993,0.1028383,0.50492345,0.31903993,0.1028383,0.0
181,0.58754228,0.15867872,0.11416476,0.56915908,0.2199591,0.06433564,0.56915908,0.2199591,0.06433564,0.0
182,0.50152906,0.26129486,0.2308333,0.48204122,0.3080834,0.14441734,0.48204122,0.3080834,0.14441734,0.0
183,0.54920345,0.13199153,0.19256126,0.53118122,0.20039957,0.12153098,0.53118122,0.20039957,0.12153098,0.0
184,0.4800351,0.27837091,0.32591609,0.46401943,0.32409653,0.21570326,0.46401943,0.32409653,0.21570326,0.0
185,0.52493584,0.11249917,0.28230349,0.50944385,0.18650277,0.18890113,0.50944385,0.18650277,0.18890113,0.0
186,0.47812604,0.34314943,0.34864005,0.46383922,0.37747936,0.23222251,0.46383922,0.37747936,0.23222251,0.0
187,0.50092806,0.43785541,0.32997205,0.48878379,0.45402348,0.21879188,0.48878379,0.45402348,0.21879188,0.0
188,0.51201626,0.48875999,0.30990684,0.50031959,0.49504828,0.20366578,0.50031959,0.49504828,0.20366578,0.0
189,0.4901007,0.32399761,0.4283737,0.48148765,0.36269175,0.29561688,0.48148765,0.36269175,0.29561688,0.0
190,0.51803417,0.44720204,0.38888994,0.51115383,0.46208696,0.26617114,0.51115383,0.46208696,0.26617114,0.0
191,0.52736858,0.51042661,0.36691167,0.52076263,0.51320902,0.24920349,0.52076263,0.51320902,0.24920349,0.0
192,0.48740693,0.25580006,0.42092814,0.47744614,0.30687321,0.29051818,0.47744614,0.30687321,0.29051818,0.0
193,0.51893869,0.30993453,0.48914635,0.51667769,0.35130924,0.34599396,0.51667769,0.35130924,0.34599396,0.0
194,0.54461188,0.45654823,0.43166557,0.54303055,0.46964182,0.30201732,0.54303055,0.46964182,0.30201732,0.0
195,0.54617629,0.53042526,0.40355989,0.54381682,0.52960073,0.27933065,0.54381682,0.52960073,0.27933065,0.0
