vertex,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_norm
60,0.712062,0.56104679,-0.0254955,0.70215222,0.54358374,-0.03670403,-0.00990978065607484,-0.017463048518424062,-0.011208530253774884,0.022995498834731433
61,0.71143673,0.55174784,-0.02672587,0.70130324,0.53597209,-0.03759446,-0.010133492136081834,-0.015775746552451397,-0.010868589568074127,0.021672288327688527
62,0.72776354,0.55617442,-0.02994938,0.71917577,0.53909504,-0.0384473,-0.00858777844806824,-0.017079380763228014,-0.008497920943601467,0.020920560372325807
63,0.73409451,0.57334869,-0.02959704,0.72634538,0.55298123,-0.03775016,-0.007749128197837907,-0.02036746007332879,-0.00815312369683846,0.023267054899172735
64,0.72190906,0.57761757,-0.02603004,0.71314506,0.55686523,-0.0363195,-0.008764007166601417,-0.020752342217573383,-0.010289460606129786,0.024765712763750943
65,0.75671424,0.53198638,-0.0402027,0.75030653,0.51834356,-0.04303818,-0.006407706410095582,-0.01364281680217938,-0.0028354731483501427,0.015337048598437143
66,0.75600879,0.54804569,-0.04231796,0.74955377,0.53147575,-0.04497677,-0.006455023651598002,-0.016569946621599163,-0.0026588098788398185,0.017980537571417363
67,0.7455981,0.59735763,-0.02826284,0.73934774,0.57233224,-0.03584543,-0.006250361590008913,-0.025025389919901997,-0.0075825903422856444,0.026885550709403645
68,0.74978236,0.57901711,-0.0343848,0.74343523,0.55711504,-0.0399006,-0.006347136403852094,-0.02190206934955985,-0.0055158001358299735,0.02346083616285778
69,0.7767001,0.56156536,-0.03297473,0.77306002,0.54210832,-0.03573807,-0.0036400786070084346,-0.019457038514145264,-0.002763341410889686,0.019986559878059813
70,0.75169774,0.56045666,-0.03193826,0.74551491,0.54190804,-0.03754113,-0.006182830890804736,-0.018548618926616856,-0.005602868511210113,0.02033889862954846
71,0.77466579,0.56629843,-0.0286605,0.77111083,0.54610218,-0.03266439,-0.003554965365947682,-0.02019625416554227,-0.004003885180656974,0.02089395983561172
72,0.75235999,0.56516244,-0.02634743,0.7466156,0.54582444,-0.03319494,-0.005744393493374744,-0.01933800326434465,-0.006847503221116713,0.02130363178478576
73,0.80054876,0.33561399,-0.01105549,0.79854116,0.35683976,-0.01304644,-0.0020076010815064382,0.021225768883499085,-0.0019909497381849772,0.021413257754441816
74,0.78781198,0.29163915,-0.0294507,0.78300534,0.3209296,-0.0280377,-0.0048066364629327785,0.029290446574461504,0.0014129986390887805,0.029715830457388286
75,0.6919119,0.56346025,-0.01850256,0.68034595,0.54622095,-0.03342197,-0.011565953504271143,-0.017239301677061336,-0.014919412104682173,0.025564695584438878
76,0.7144389,0.58636091,-0.0224139,0.70519487,0.56428146,-0.03441923,-0.009244022145057595,-0.022079445138001197,-0.012005331096151373,0.02677838340431586
77,0.76960898,0.61585255,-0.02002827,0.76650302,0.58692676,-0.02719302,-0.0031059598659991527,-0.02892578372685528,-0.007164755862018812,0.02996133637647587
78,0.74034416,0.60403674,-0.0253395,0.73378313,0.57798742,-0.03422175,-0.006561022470729649,-0.026049327744890993,-0.008882245352122065,0.028293263762200732
79,0.64497095,0.32802973,-0.00158987,0.6273419,0.35511212,-0.02187044,-0.01762905021053296,0.02708238451029804,-0.020280568486573558,0.038151545450056466
80,0.67318603,0.37329542,-0.00796463,0.65852657,0.39126792,-0.02451071,-0.014659459848261114,0.017972497934528875,-0.016546076672296683,0.028490052620080312
81,0.78020886,0.35977587,0.00251616,0.77710956,0.37738472,-0.004981,-0.003099302719323571,0.017608849468842336,-0.0074971523987653055,0.01938774228869024
82,0.76389185,0.31571857,-0.02058428,0.75735038,0.34143312,-0.02399914,-0.00654146085490992,0.025714556998645444,-0.0034148560463271305,0.026752390427213064
83,0.72191489,0.30379076,-0.03340761,0.71016803,0.33264681,-0.03817675,-0.011746860406792625,0.028856051283744077,-0.004769145622351034,0.031518330778674344
84,0.72345742,0.27594596,-0.03591686,0.71146331,0.30978347,-0.03956863,-0.011994110843957628,0.033837514417144055,-0.0036517691291875765,0.03608561340258
85,0.6868734,0.30356328,-0.02887351,0.67175921,0.33350676,-0.03831874,-0.015114193735193737,0.02994347992866314,-0.00944523830926608,0.03484628199997884
86,0.67212148,0.27790575,-0.02237332,0.65562159,0.31302656,-0.03445358,-0.016499893020928913,0.03512081437028591,-0.012080263869861718,0.040640507463609095
