global_vertex,is_face_component,distance_to_face,displacement_magnitude,nearest_face_local,neighbor_jump,relative_jump
579,0,0.06783846085507177,0.020126359135593845,434,0.0021609052391353837,0.10391650278599272
580,0,0.013917485680790253,0.020463084276651756,248,0.0013582848973769377,0.06286148805038855
581,0,0.015640997046850975,0.020724373808636027,248,0.001280858551187502,0.059278193157563296
582,0,0.02211486369702285,0.020748696984713447,249,0.0032409753279009443,0.14623322193246194
583,0,0.02840138405428336,0.02111868770638642,434,0.0030755902470292825,0.14790309944450405
584,0,0.03545100082272012,0.021138891286097073,434,0.0030931769941314603,0.14874883447311238
585,0,0.042692307529494156,0.021546370679247487,434,0.003378756168429975,0.16248214795866214
586,0,0.050073213857125265,0.021407727385369238,434,0.0031348410144411932,0.15075242963507532
587,0,0.05728878339130883,0.02139204177753838,434,0.003108837465835439,0.14950193619269894
588,0,0.06414680892550854,0.021223193072912983,434,0.0028344491618971365,0.1363067842562553
589,0,0.07097911637140111,0.020879068727637867,434,0.0026948640276482534,0.1295942275326384
590,0,0.009824787926978426,0.02060503275747288,248,0.0010601892785365842,0.04906560898422687
591,0,0.010906059828054317,0.021011865323211646,248,0.0007054400616698369,0.032647798773704266
592,0,0.017295222112979607,0.021248895337472953,249,0.0025827099457581557,0.11653220357275496
593,0,0.025630370530263506,0.021959950704992258,249,0.0020805968606464574,0.09387679685668869
594,0,0.0341677254216753,0.022013569188937883,435,0.0019382766029260486,0.08767911286973828
595,0,0.04180250873914029,0.022609955176529316,435,0.0022504616319599666,0.10180099122063316
596,0,0.050076435298768984,0.022768566805526573,435,0.0021175236192766834,0.09578745992115795
597,0,0.05720260986579105,0.022882984578712115,435,0.0016773537485230252,0.07587610995108322
598,0,0.06436630025858248,0.022875565307083165,435,0.00161712596020784,0.0731516695685238
599,0,0.0713581324912977,0.02235610529102453,435,0.0009672403223566274,0.043753700203594946
600,0,0.006213741861543701,0.02093244661400257,248,0.0007977286561009066,0.036918919204491106
601,0,0.0063924049891257795,0.021280806227974645,248,0.0005591704279805421,0.025878433342305607
602,0,0.014744460344078364,0.021665204403636007,435,0.0011821524471754988,0.05347537997861932
603,0,0.023013221419362354,0.022316028547358445,435,0.001451996564583691,0.06568194161783573
604,0,0.03170259948499649,0.022949926777760126,435,0.001856517360307748,0.08398068414658676
605,0,0.03977792016011141,0.023271937523768063,435,0.001920125952253737,0.08685805722342117
606,0,0.047852077253258296,0.023307217871297626,435,0.0019095834973953028,0.08638116291016301
607,0,0.05581423503787003,0.02330676402798253,435,0.001881475620041588,0.08510968610065878
608,0,0.06320612373772891,0.02401834882877387,435,0.00289933240549046,0.13115305258502716
609,0,0.07047490712611616,0.023885750117023787,435,0.002918125864195177,0.13200318604095193
610,0,0.0035119692151555325,0.02105496082313817,248,0.0007324938233507997,0.03389984811910309
611,0,0.0030895603614268176,0.021418379271637082,248,0.0008144958004904826,0.03769490342453208
612,0,0.013177274343190248,0.021977901252379587,435,0.0015084395112321006,0.0682351724015204
613,0,0.01912120345861634,0.022785204167456052,258,0.0015951901180247003,0.06772256881516787
614,0,0.02584704383667508,0.023211892682337466,258,0.0011142499235137911,0.04730462298493866
615,0,0.03379370632824703,0.02368031812476843,258,0.001303368789179867,0.05533351888242378
616,0,0.042866543859178825,0.024074584674336534,310,0.004716196327519755,0.18333021551194786
617,0,0.04987684418362994,0.02417056784243039,311,0.007598821638145874,0.2510156610372231
618,0,0.05742809170402321,0.02406869389696856,436,0.002110974511601231,0.08913480448190991
619,0,0.06197407742316224,0.024073721193324012,312,0.010113518236383111,0.3085044889613585
620,0,0.004901467175468993,0.020974680377095142,248,0.0015728485081483777,0.07279150190875076
621,0,0.005489778461003641,0.02146113563039123,248,0.0014316432949375015,0.06625651809199058
622,0,0.011003950026826727,0.02223580400106697,438,0.0013535820951338163,0.05932389048788531
623,0,0.012513488480891384,0.022404653664357305,258,0.002278795830068169,0.0967445232224787
624,0,0.020753850399762,0.023278746573289582,258,0.0021899805094233913,0.09297393713606589
625,0,0.028604583297216584,0.02389889689537443,436,0.0021049791309860726,0.08888165264327336
626,0,0.03493751542192291,0.02410873949309121,255,0.004110011968716274,0.15847815002768428
627,0,0.04016964205195139,0.024240689786259473,255,0.0039246599720249315,0.15133115343420325
628,0,0.046234517419951604,0.024192211777302904,312,0.009649124773670484,0.2943385513971433
629,0,0.05121259479352516,0.024165587831522783,312,0.009650320760225758,0.29437503397545245
630,0,0.008114947498949057,0.020824314634163316,248,0.0019603915896383114,0.09072701369507497
631,0,0.009703957550613035,0.021144833161757394,248,0.002595334337645681,0.1201121935226835
632,0,0.0041165191371958605,0.02213221942881839,438,0.0009898748716666414,0.043383573626286726
633,0,0.009297570958750402,0.02259973411724466,438,0.000860454337106809,0.037711417022920864
634,0,0.012847573246029784,0.02281211382908728,436,0.0017940583438899992,0.07575318358082678
635,0,0.018485220901301187,0.02389643206759233,255,0.0035219457712833057,0.13580287711549843
636,0,0.02225746675966971,0.02414966837217063,255,0.0032658946124931817,0.1259297881156681
637,0,0.029075020457576584,0.024325212943666897,304,0.005494571310579287,0.19491678647842328
638,0,0.03594373031646269,0.02431795442910397,304,0.005508351945714848,0.19540564665775764
639,0,0.04474683375949068,0.024174342395218335,304,0.0054576651602554265,0.1936075618245243
640,0,0.011866815857895499,0.02061665130024678,248,0.0026426232542582154,0.12230072677685964
641,0,0.013684345415335038,0.02095995617741957,438,0.0019062165371337004,0.08354438308666902
642,0,0.007300963025539827,0.021882154060796657,438,0.0012647564841730197,0.05543090103707786
643,0,0.0042194493530080335,0.02265300567150413,436,0.0013393404058577416,0.05655295436054191
644,0,0.005867519659191617,0.02289137177512246,436,0.0010515969946648263,0.04440313798109939
645,0,0.012539169150968497,0.023508664750372256,255,0.003025872249621398,0.11667475423189215
646,0,0.017108165681305562,0.023695360229173526,255,0.0028139758789729576,0.1085042318408262
647,0,0.025386499140050738,0.02376561623183419,304,0.005443010539817376,0.19308769751457422
648,0,0.03296634653811217,0.023718219008900598,304,0.005523457211644077,0.19594149735973296
649,0,0.042484536967878045,0.024359338940032314,304,0.004387189518811304,0.1556330483930626
650,0,0.011652481440053871,0.0203651548436634,261,0.002613105652203159,0.14326428914377737
651,0,0.013136501923316573,0.020663465331419294,261,0.002733388760880884,0.1498588461017745
652,0,0.008387909543676526,0.021244363437954907,257,0.001874802277099011,0.09065908560068296
653,0,0.008272030867604417,0.02150764623047274,437,0.0018988850044929476,0.08662692374535237
654,0,0.014005818783484251,0.022054925317257144,437,0.0017223320432996272,0.07857259719576024
655,0,0.02046241055415028,0.02225377081896271,256,0.001480945497642859,0.06246745639455066
656,0,0.024666532035026764,0.022982262573265032,255,0.003248043407205576,0.12524146262871635
657,0,0.031247689897392433,0.023108639538109137,255,0.003145795768403013,0.12129889098525949
658,0,0.0388310321080073,0.0235653930561354,304,0.004924730473118095,0.17470200746040396
659,0,0.046823455601556124,0.024647053402723027,304,0.003633240147624618,0.12888712404475466
660,0,0.008426173996174045,0.019953573127627168,261,0.00217497696344367,0.11924375438441834
661,0,0.008744728331251894,0.02028183133623891,261,0.002406865493467111,0.13195711152954342
662,0,0.00955359178106854,0.02033654838567613,257,0.0016492015889356389,0.07974980073922874
663,0,0.006711609889534722,0.020847350460571647,254,0.002214896391082469,0.10720071706544504
664,0,0.01148562301450385,0.021029770109731456,254,0.0021585679270985435,0.1044744262309917
665,0,0.017285918451054302,0.02135218027225762,305,0.005196375818729412,0.24399795718195313
666,0,0.02453793935088479,0.021467596867849766,305,0.005339308520577637,0.2507094208023792
667,0,0.033165828252008075,0.02152879392185728,305,0.005443364301790066,0.2555954026740701
668,0,0.043016402741932025,0.022705277895663047,305,0.0046518365849113515,0.21842889418652098
669,0,0.05292126617792223,0.02286747565965975,305,0.0047885293923024715,0.22484736100423755
670,0,0.006484029175944542,0.019260764751284395,261,0.001793858017551961,0.09834879561519809
671,0,0.006126828929568717,0.019395479358075868,261,0.0018334959727542921,0.10052195821594752
672,0,0.010469531700095265,0.019863443130810437,439,0.0012208000057851135,0.062225753352541546
673,0,0.015011185669843097,0.020073955147854206,254,0.002691408553021402,0.1302638479892775
674,0,0.017714914665281266,0.02040298964753374,305,0.005455378339344863,0.2561595267334409
675,0,0.018898353890045516,0.020496456057429613,305,0.005411397840197211,0.2540944043631167
676,0,0.025445581608179023,0.020866939210088115,305,0.0051996738177459674,0.2441528160780182
677,0,0.034065557966858485,0.020957466807643127,305,0.005297303449551071,0.2487370554694439
678,0,0.043712633021634584,0.021020276774587038,305,0.00545595876411694,0.256186780816599
679,0,0.05343755849201005,0.02176261468378036,305,0.004593276812210468,0.21567919604872368
