global_vertex,is_face_component,baseline_x,baseline_y,baseline_z,deformed_x,deformed_y,deformed_z,dx,dy,dz,displacement_magnitude
58,1,0.7718417071546347,0.6068466986923937,-0.027541384356815135,0.7684445762719456,0.5793826630278958,-0.032663981883238935,-0.0033971308826891145,-0.027464035664497954,-0.0051225975264238,0.028143467423767436
59,1,0.7247339144306109,0.5624427712005202,-0.02627236151049228,0.7161047305619214,0.5443640557200337,-0.03599776413298206,-0.008629183868689494,-0.018078715480486562,-0.009725402622489776,0.02226850295447735
60,1,0.7120620036536164,0.561046786152767,-0.02549549604347462,0.7021522229975415,0.543583737634343,-0.036704026297249503,-0.00990978065607484,-0.017463048518424062,-0.011208530253774884,0.022995498834731436
61,1,0.71143672862862,0.5517478351858349,-0.026725871737651674,0.7013032364925381,0.5359720886333835,-0.0375944613057258,-0.010133492136081834,-0.015775746552451397,-0.010868589568074127,0.021672288327688524
62,1,0.7277635444075592,0.5561744168226106,-0.029949381372677553,0.719175765959491,0.5390950360593826,-0.03844730231627902,-0.00858777844806824,-0.017079380763228014,-0.008497920943601467,0.020920560372325807
63,1,0.7340945112644461,0.5733486948238102,-0.029597036580857772,0.7263453830666082,0.5529812347504814,-0.03775016027769623,-0.007749128197837907,-0.02036746007332879,-0.00815312369683846,0.023267054899172735
64,1,0.721909063804689,0.5776175680150528,-0.026030042696754907,0.7131450566380876,0.5568652257974794,-0.03631950330288469,-0.008764007166601417,-0.020752342217573383,-0.010289460606129786,0.024765712763750943
65,1,0.7567142405082324,0.5319863774066063,-0.040202703763002834,0.7503065340981369,0.5183435606044269,-0.04303817691135298,-0.006407706410095582,-0.01364281680217938,-0.0028354731483501427,0.015337048598437143
66,1,0.7560087932848153,0.5480456923324448,-0.042317960844598435,0.7495537696332173,0.5314757457108457,-0.04497677072343825,-0.006455023651598002,-0.016569946621599163,-0.0026588098788398185,0.017980537571417363
67,1,0.7455981011390395,0.5973576285995827,-0.02826284070680163,0.7393477395490305,0.5723322386796807,-0.03584543104908727,-0.006250361590008913,-0.025025389919901997,-0.0075825903422856444,0.02688555070940364
68,1,0.7497823647595078,0.5790171130999218,-0.03438479771877739,0.7434352283556557,0.5571150437503619,-0.03990059785460737,-0.006347136403852094,-0.02190206934955985,-0.0055158001358299735,0.02346083616285778
69,1,0.776700100760289,0.5615653608969815,-0.03297472866389389,0.7730600221532805,0.5421083223828362,-0.03573807007478358,-0.0036400786070084346,-0.019457038514145264,-0.002763341410889686,0.019986559878059817
70,1,0.7516977386320667,0.5604566600134735,-0.03193825676152939,0.745514907741262,0.5419080410868566,-0.037541125272739506,-0.006182830890804736,-0.018548618926616856,-0.005602868511210113,0.020338898629548456
71,1,0.7746657946225635,0.5662984299482892,-0.028660500917852827,0.7711108292566158,0.5461021757827469,-0.0326643860985098,-0.003554965365947682,-0.02019625416554227,-0.004003885180656974,0.02089395983561172
72,1,0.7523599924458213,0.5651624419538726,-0.02634743236639836,0.7466155989524466,0.5458244386895279,-0.03319493558751507,-0.005744393493374744,-0.01933800326434465,-0.006847503221116713,0.02130363178478576
73,1,0.800548761378869,0.3356139869064272,-0.011055491080835311,0.7985411602973626,0.35683975578992627,-0.013046440819020289,-0.0020076010815064382,0.021225768883499085,-0.0019909497381849772,0.021413257754441816
74,1,0.7878119757624499,0.2916391485727665,-0.02945069990893473,0.7830053392995171,0.320929595147228,-0.02803770126984595,-0.0048066364629327785,0.029290446574461504,0.0014129986390887805,0.029715830457388286
75,1,0.6919118994306241,0.5634602502316266,-0.01850255844290616,0.680345945926353,0.5462209485545653,-0.03342197054758833,-0.011565953504271143,-0.017239301677061336,-0.014919412104682173,0.025564695584438878
